ref,Sample,Type,Protein adsorption / ng cm-2,Protein MW / kDa,Protein Charge (pI),Thickness (nm),Smiles
https://pubs.acs.org/doi/10.1021/acsami.4c01401,PMPC,Lys,2.5,14,11,23.1,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C
https://pubs.acs.org/doi/10.1021/acsami.4c01401,PSBMA,Lys,46.7,14,11,4,C=C(C)C(=O)OCC[N+](C)(C)CCCS(=O)(=O)[O-]
https://pubs.acs.org/doi/10.1021/acsami.4c01401,PSBMA,Lys,58,14,11,3.8,C=C(C)C(=O)OCCOC
Exp,PDMAEMA,Lys,88.8,14,11,13.8,C=C(C)C(=O)OCC[N+](C)C.[Cl-]
Exp,PDEAMEA,Lys,157.8,14,11,16.6,CC[N+](CC)CCOC(=O)C(C)=C.[Cl-]
Exp,PDIPAEMA,Lys,208.4,14,11,19.5,CC(C)[N+](CCOC(=O)C(C)=C)C(C)C.[Cl-]
https://pubs.acs.org/doi/10.1021/la302738s,PmOEGMA,Lys,1.6,14,11,20,C=C(C)C(=O)OCCOCCOCCOCCOC
https://pubs.acs.org/doi/10.1021/la302738s,PHEMA,Lys,1.8,14,11,20,C=C(C)C(=O)OCCO
https://pubs.acs.org/doi/10.1021/la302738s,PMOEMA,Lys,78.4,14,11,20,C=C(C)C(=O)OCCOC
https://pubs.acs.org/doi/10.1021/la204542e,PAA,Lys,35,14,11,9.5,O=C(O)C=C
https://pubs.acs.org/doi/10.1021/la204542e,PAA,Lys,14.2,14,11,4.82,O=C(O)C=C
https://pubs.acs.org/doi/10.1021/la204542e,PAA,Lys,27.6,14,11,1.9,O=C(O)C=C
Nagasawa,PBMA ,Fib,1877,340,5.8,11.962,C=C(C)C(=O)OCCCC
Nagasawa,PHEMA ,Fib,41.3,340,5.8,16.822,C=C(C)C(=O)OCCO
Nagasawa,PmOEGMA,Fib,16.4,340,5.8,17.9,C=C(C)C(=O)OCCOCCOCCOCCOC
Nagasawa,PMEA ,Fib,1053,340,5.8,19.78895833,C=CC(=O)OCCOC
Nagasawa,PAEMA ,Fib,2782,340,5.8,9.2225,C=C(C)C(=O)OCC[NH3+].[Cl-]
Nagasawa,PCBMA ,Fib,4,340,5.8,19.38733333,C=C(C)C(=O)OCC[N+](C)(C)CCC(=O)[O-]
Nagasawa,PMPC ,Fib,0,340,5.8,12.49,C=C(C)C(=O)OCCOP(=O)([O-])OCC[N+](C)(C)C
Nagasawa,PMPS,Fib,254,340,5.8,18.93,C=C(C)C(=O)OCCCS(=O)(=O)[O-].[K+]
https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198,PHEMA,Fib,567.2,340,5.8,22.4,C=C(C)C(=O)OCCO
https://pubs.acs.org/doi/full/10.1021/acs.analchem.7b00198,PHEMA,Fib,125.1,340,5.8,40.1,C=C(C)C(=O)OCCO
https://onlinelibrary.wiley.com/doi/full/10.1002/admi.202101717,PNMEP,Fib,63,340,5.8,50,C=C(C)C(=O)OCCN1CCCC1=O
